coreid,no.metal,no.topology,LCD,PLD,PLD/LCD,Density (g/cm3),ASA (m2/cm3),ASA (m2/g),VF,PV (cm3/g),Has OMS,frac_C,frac_H,frac_O,frac_N,frac_halogen,frac_metal,H_over_C,O_over_C,N_over_C,NF3_uptake(mol/kg),CF4_uptake(mol/kg),Selectivity(NF3/CF4)
2021[In][nan]3[ASR]1,7,0,7.3813,7.21048,0.976857735,1.32439,1634.79,1234.37,0.5976,0.451226,0,0.444444444,0.222222222,0.277777778,0,0,0.055555556,0.5,0.625,0,3.827690935,1.291392113,2.964003648
2016[In][nan]3[FSR]13,7,0,11.61707,9.79492,0.843148918,0.87605,1845.26,2106.34,0.6177,0.705097,0,0.25862069,0.25862069,0.310344828,0.103448276,0,0.068965517,1,1.2,0.4,1.831706677,0.625931356,2.926369896
2016[In][nan]3[ASR]14,7,0,7.41949,7.28227,0.981505467,1.32568,1634.51,1232.96,0.5996,0.452296,0,0.444444444,0.222222222,0.277777778,0,0,0.055555556,0.5,0.625,0,3.739997764,1.282771387,2.915560639
2016[In][nan]3[ASR]13,7,0,7.46908,7.32894,0.981237314,1.32869,1628.15,1225.38,0.5982,0.450218,0,0.444444444,0.222222222,0.277777778,0,0,0.055555556,0.5,0.625,0,3.604842392,1.248958805,2.886278057
2016[In][nan]3[ASR]11,7,0,7.38384,7.20956,0.976397105,1.32604,1614.97,1217.88,0.5982,0.451116,0,0.444444444,0.222222222,0.277777778,0,0,0.055555556,0.5,0.625,0,3.747361713,1.301027063,2.880310348
2021[Ce][nan]3[ASR]3,19,0,4.76274,4.50601,0.946096155,1.42492,477.211,334.905,0.462,0.32423,1,0.535714286,0.303571429,0.142857143,0,0,0.017857143,0.566666667,0.266666667,0,1.684383984,0.588208263,2.863584362
2011[Zn][dia]3[ASR]1,1,3,4.84686,4.50454,0.929372831,1.16974,754.891,645.349,0.4476,0.382649,0,0.491803279,0.393442623,0.06557377,0.032786885,0,0.016393443,0.8,0.133333333,0.066666667,1.324414689,0.468743161,2.825459224
2014[Mn][gfy]3[ASR]2,6,22,6.79198,5.2818,0.777652467,1.07942,954.184,883.981,0.5242,0.485633,0,0.516393443,0.319672131,0.049180328,0.098360656,0,0.016393443,0.619047619,0.095238095,0.19047619,1.799783465,0.63755188,2.822960018
2013[Co][nan]3[ASR]3,3,0,4.83411,4.51286,0.933545161,1.28879,618.714,480.074,0.4792,0.371822,1,0.438596491,0.333333333,0.140350877,0.052631579,0,0.035087719,0.76,0.32,0.12,1.616024079,0.573709923,2.816796456
2016[In][nan]3[ASR]12,7,0,7.47137,7.33294,0.981471939,1.32686,1621.47,1222.04,0.5976,0.450388,0,0.444444444,0.222222222,0.277777778,0,0,0.055555556,0.5,0.625,0,3.476675214,1.268837082,2.740048556
2011[ZnSi][pcu]3[ASR]1,36,1,4.98688,4.55509,0.9134148,1.07707,1104.09,1025.09,0.5284,0.490592,0,0.5,0.35,0,0.05,0.075,0.0125,0.7,0,0.1,2.628710261,0.97329558,2.700834479
2012[Co][gfy]3[ION]1,3,22,6.72748,5.57289,0.828377045,1.15231,752.12,652.703,0.2398,0.208103,0,0.512195122,0.317073171,0.048780488,0.097560976,0.008130081,0.016260163,0.619047619,0.095238095,0.19047619,2.229372717,0.826410296,2.697658449
2020[In][nan]3[ASR]4,7,0,7.56394,7.40436,0.97890253,1.3216,1671.73,1264.93,0.6118,0.462924,0,0.444444444,0.222222222,0.277777778,0,0,0.055555556,0.5,0.625,0,3.52975815,1.323159565,2.667673835
2013[Ni][twt]3[ASR]1,5,103,6.17717,5.826,0.943150342,0.749009,3180.02,4245.64,0.713,0.951925,1,0.518518519,0.222222222,0.222222222,0,0,0.037037037,0.428571429,0.428571429,0,3.825274759,1.468739139,2.604461649
2014[Co][gfy]3[ION]1,3,22,6.7589,5.79486,0.857367323,1.17885,912.574,774.121,0.491,0.416507,0,0.5,0.30952381,0.071428571,0.103174603,0,0.015873016,0.619047619,0.142857143,0.206349206,2.093985145,0.805693866,2.598983603
2020[Mn][nan]3[ASR]2,6,0,4.89573,4.54105,0.927553194,1.46819,382.514,260.535,0.1125,0.0766251,0,0.479166667,0.333333333,0.166666667,0,0,0.020833333,0.695652174,0.347826087,0,0.649930135,0.251271177,2.586568588
2014[Co][gfy]3[ION]5,3,22,6.82229,5.8801,0.861895346,1.14711,784.594,683.973,0.2509,0.218723,0,0.512195122,0.317073171,0.048780488,0.097560976,0.008130081,0.016260163,0.619047619,0.095238095,0.19047619,2.197173712,0.855810629,2.567359691
2019[Cu][nan]3[ASR]5,2,0,4.94603,4.58372,0.92674731,1.10365,736.047,666.918,0.2062,0.186834,1,0.403225806,0.403225806,0.096774194,0.080645161,0,0.016129032,1,0.24,0.2,1.036220451,0.407301431,2.544111981
2014[Co][gfy]3[ION]4,3,22,6.75847,5.79306,0.85715554,1.17885,725.441,615.379,0.2325,0.197226,0,0.5,0.30952381,0.071428571,0.103174603,0,0.015873016,0.619047619,0.142857143,0.206349206,2.048310391,0.806007148,2.541305489
2014[Co][gfy]3[ION]2,3,22,6.823,5.88003,0.861795398,1.14711,980.582,854.827,0.4936,0.430298,0,0.512195122,0.317073171,0.048780488,0.097560976,0.008130081,0.016260163,0.619047619,0.095238095,0.19047619,2.209030061,0.8723628,2.532237804
2008[Cu][dia]3[ASR]4,2,3,5.25432,4.58622,0.872847485,1.4126,781.324,553.11,0.501,0.354665,1,0.333333333,0.466666667,0,0.133333333,0.033333333,0.033333333,1.4,0,0.4,1.671445412,0.665423549,2.51185191
2014[Mn][gfy]3[ION]1,6,22,6.67567,4.79422,0.718163121,1.11312,1012.72,909.804,0.5042,0.452962,0,0.512195122,0.317073171,0.048780488,0.097560976,0.008130081,0.016260163,0.619047619,0.095238095,0.19047619,2.046026585,0.819955079,2.495291069
2012[Cd][pcu]3[ASR]5,4,1,6.38849,4.58117,0.717097467,1.19854,1330.12,1109.79,0.4071,0.339664,0,0.413793103,0.24137931,0.206896552,0.103448276,0,0.034482759,0.583333333,0.5,0.25,1.991046279,0.803919128,2.476674842
2023[Eu][nan]2[FSR]4,10,0,5.15771,4.50103,0.87267993,1.44555,592.527,409.897,0.4666,0.322783,0,0.450980392,0.333333333,0.156862745,0.039215686,0,0.019607843,0.739130435,0.347826087,0.086956522,1.324855685,0.536185092,2.470892433
2012[Cd][pcu]3[ASR]6,4,1,6.36886,4.5981,0.721965941,1.19858,1329.5,1109.22,0.4098,0.341904,0,0.413793103,0.24137931,0.206896552,0.103448276,0,0.034482759,0.583333333,0.5,0.25,2.048651662,0.82947393,2.469820433
2014[Mn][gfy]3[ION]2,6,22,6.67565,4.79421,0.718163774,1.11312,787.998,707.917,0.2337,0.20995,0,0.512195122,0.317073171,0.048780488,0.097560976,0.008130081,0.016260163,0.619047619,0.095238095,0.19047619,2.052652302,0.840542314,2.442057072
2013[Mn][gfy]3[ION]1,6,22,7.14993,6.39754,0.894769599,1.09803,839.999,765.007,0.2628,0.239338,0,0.512195122,0.317073171,0.048780488,0.097560976,0.008130081,0.016260163,0.619047619,0.095238095,0.19047619,2.157178888,0.884561191,2.438699448
2016[Zn][nan]3[ASR]10,1,0,4.94764,4.52337,0.914248005,1.65228,602.902,364.891,0.2448,0.148159,0,0.1875,0.4375,0.1875,0.0625,0,0.0625,2.333333333,1,0.333333333,1.721929048,0.715955581,2.405078043
